item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,new_trend,mapping_confidence,cross_set_group
M3_CIRC_150_S07_Q001,001,1,41,원의 중심과 현의 수직이등분선(1),M3_CIRC_PT003,원의 중심과 현의 수직이등분선(1) - 종합 활용,choice:4,58,advanced,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT003::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q002,002,1,41,원의 중심과 현의 수직이등분선(1),M3_CIRC_PT003,원의 중심과 현의 수직이등분선(1) - 종합 활용,9,83,advanced,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT003::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q003,003,1,41,원의 중심과 현의 수직이등분선(1),M3_CIRC_PT003,원의 중심과 현의 수직이등분선(1) - 종합 활용,12,69,advanced,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT003::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q004,004,1,41,원의 중심과 현의 수직이등분선(1),M3_CIRC_PT003,원의 중심과 현의 수직이등분선(1) - 종합 활용,48,79,advanced,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT003::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q005,005,2,42,현의 길이(1); 중심에서 같은 거리의 두 현,M3_CIRC_PT014,현의 길이(1); 중심에서 같은 거리의 두 현 - 조건 적용,48 cm,78,concept,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT014::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q006,006,2,42,현의 길이(1); 중심에서 같은 거리의 두 현,M3_CIRC_PT013,현의 길이(1); 중심에서 같은 거리의 두 현 - 기본 판별,48 cm^2,82,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT013::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q007,007,2,42,현의 길이(1); 중심에서 같은 거리의 두 현,M3_CIRC_PT013,현의 길이(1); 중심에서 같은 거리의 두 현 - 기본 판별,choice:3,91,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT013::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q008,008,2,42,현의 길이(1); 중심에서 같은 거리의 두 현,M3_CIRC_PT013,현의 길이(1); 중심에서 같은 거리의 두 현 - 기본 판별,12 cm^2,89,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT013::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q009,009,3,42,현의 길이(1); 중심에서 같은 거리의 두 현,M3_CIRC_PT013,현의 길이(1); 중심에서 같은 거리의 두 현 - 기본 판별,choice:3,93,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT013::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q010,010,3,42,원의 접선과 반지름,M3_CIRC_PT019,원의 접선과 반지름 - 기본 판별,75°,60,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT019::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q011,011,3,43,원의 접선과 반지름,M3_CIRC_PT019,원의 접선과 반지름 - 기본 판별,130°,55,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT019::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q012,012,3,43,원의 접선과 반지름,M3_CIRC_PT019,원의 접선과 반지름 - 기본 판별,choice:2,90,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT019::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q013,013,4,43,원의 접선과 반지름,M3_CIRC_PT019,원의 접선과 반지름 - 기본 판별,choice:2,87,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT019::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q014,014,4,43,원의 접선과 반지름,M3_CIRC_PT019,원의 접선과 반지름 - 기본 판별,choice:1,57,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT019::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q015,015,4,43,원의 접선의 성질(1),M3_CIRC_PT022,원의 접선의 성질(1) - 기본 판별,21°,87,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT022::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q016,016,4,43,원의 접선의 성질(1),M3_CIRC_PT023,원의 접선의 성질(1) - 조건 적용,choice:3,88,concept,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT023::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q017,017,5,43,원의 접선의 성질(1),M3_CIRC_PT023,원의 접선의 성질(1) - 조건 적용,choice:2,87,concept,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT023::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q018,018,5,43,원의 접선의 성질(1),M3_CIRC_PT022,원의 접선의 성질(1) - 기본 판별,choice:5,84,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT022::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q019,019,5,44,원의 접선의 성질(1),M3_CIRC_PT023,원의 접선의 성질(1) - 조건 적용,42°,67,concept,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT023::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q020,020,5,44,원의 접선의 성질(2); 길이,M3_CIRC_PT025,원의 접선의 성질(2); 길이 - 기본 판별,choice:5,78,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT025::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q021,021,6,44,원의 접선의 성질(2); 길이,M3_CIRC_PT025,원의 접선의 성질(2); 길이 - 기본 판별,choice:2,86,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT025::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q022,022,6,44,원의 접선의 성질(2); 길이,M3_CIRC_PT025,원의 접선의 성질(2); 길이 - 기본 판별,48/5 cm,62,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT025::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q023,023,6,45,원의 접선의 성질(2); 길이,M3_CIRC_PT025,원의 접선의 성질(2); 길이 - 기본 판별,40,55,basic,diagram_or_geometric_configuration,True,True,0.97,M3_CIRC_PT025::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q024,024,6,45,원의 접선의 성질(2); 길이,M3_CIRC_PT025,원의 접선의 성질(2); 길이 - 기본 판별,choice:5,86,basic,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT025::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q025,025,7,45,원의 접선의 성질의 활용,M3_CIRC_PT032,원의 접선의 성질의 활용 - 조건 적용,choice:4,81,concept,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT032::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q026,026,7,45,원의 접선의 성질의 활용,M3_CIRC_PT033,원의 접선의 성질의 활용 - 종합 활용,3 cm,65,advanced,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT033::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q027,027,7,46,원의 접선의 성질의 활용,M3_CIRC_PT032,원의 접선의 성질의 활용 - 조건 적용,choice:2,67,concept,diagram_or_geometric_configuration,True,False,0.97,M3_CIRC_PT032::M3_CIRC_CROSS_SET
M3_CIRC_150_S07_Q028,028,7,46,원의 접선의 성질의 활용,M3_CIRC_PT033,원의 접선의 성질의 활용 - 종합 활용,12 cm,51,advanced,diagram_or_geometric_configuration,True,True,0.97,M3_CIRC_PT033::M3_CIRC_CROSS_SET
