item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence
M3_POLY_150_S10_Q001,001,1,41,계수 구하기,M3_POLY_PT006,전개식의 계수 구하기 - 계산 수행,4,73,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q002,002,1,41,계수 구하기,M3_POLY_PT006,전개식의 계수 구하기 - 계산 수행,choice:3,91,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q003,003,1,41,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,7,87,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q004,004,1,41,계수 구하기,M3_POLY_PT006,전개식의 계수 구하기 - 계산 수행,choice:4,88,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q005,005,2,41,계수 구하기,M3_POLY_PT008,전개식의 계수 구하기 - 종합 활용,37,70,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q006,006,2,41,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,-2,82,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q007,007,2,41,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,choice:5,77,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q008,008,2,42,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,choice:3,89,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q009,009,3,42,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,-1,77,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q010,010,3,42,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,choice:2,89,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q011,011,3,42,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,8,87,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q012,012,3,42,계수 구하기,M3_POLY_PT006,전개식의 계수 구하기 - 계산 수행,-28,77,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q013,013,4,42,계수 구하기,M3_POLY_PT006,전개식의 계수 구하기 - 계산 수행,-1,73,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q014,014,4,42,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,choice:1,78,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q015,015,4,42,계수 구하기,M3_POLY_PT007,전개식의 계수 구하기 - 조건 적용,choice:2,86,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q016,016,4,42,계수 구하기,M3_POLY_PT008,전개식의 계수 구하기 - 종합 활용,choice:2,71,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q017,017,5,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT031,일차항 계수가 1이 아닌 두 일차식의 곱 - 조건 적용,-6,81,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q018,018,5,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT031,일차항 계수가 1이 아닌 두 일차식의 곱 - 조건 적용,choice:3,92,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q019,019,5,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT031,일차항 계수가 1이 아닌 두 일차식의 곱 - 조건 적용,5,88,core,symbolic_expression,False,0.88
M3_POLY_150_S10_Q020,020,5,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT032,일차항 계수가 1이 아닌 두 일차식의 곱 - 종합 활용,2,78,standard,symbolic_expression,False,0.88
M3_POLY_150_S10_Q021,021,6,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT030,일차항 계수가 1이 아닌 두 일차식의 곱 - 계산 수행,2,82,core,symbolic_expression,False,0.88
