item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence,cross_set_group
M3_QUAD_150_S12_Q001,001,1,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,choice:1,72,standard,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q002,002,1,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT009,두 근이 주어진 경우의 식의 값 구하기,0,80,standard,symbolic_expression,False,0.84,M3_QUAD_PT009::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q003,003,1,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,choice:4,74,standard,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q004,004,1,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT009,두 근이 주어진 경우의 식의 값 구하기,choice:4,78,standard,symbolic_expression,False,0.84,M3_QUAD_PT009::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q005,005,2,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,10,75,advanced,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q006,006,2,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,-1,70,advanced,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q007,007,2,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,6,70,advanced,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q008,008,2,43,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,62,75,advanced,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q009,009,3,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,choice:2,66,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q010,010,3,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,choice:3,64,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q011,011,3,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,2/5,54,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q012,012,3,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,-23,69,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q013,013,4,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,-17,68,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q014,014,4,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,choice:2,88,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q015,015,4,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,choice:2,88,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q016,016,4,44,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT004,x값의 범위가 주어진 경우,choice:4,81,core,symbolic_expression,False,0.84,M3_QUAD_PT004::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q017,017,5,44,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT015,한 근이 주어진 경우,8/3,67,standard,symbolic_expression,False,0.91,M3_QUAD_PT015::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q018,018,5,44,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT016,한 근이 다른 이차방정식의 근인 경우,x=2,74,standard,symbolic_expression,False,0.84,M3_QUAD_PT016::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q019,019,5,44,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT016,한 근이 다른 이차방정식의 근인 경우,-4,69,standard,symbolic_expression,False,0.84,M3_QUAD_PT016::M3_QUAD_CROSS_SET
M3_QUAD_150_S12_Q020,020,5,44,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT016,한 근이 다른 이차방정식의 근인 경우,choice:2,72,standard,symbolic_expression,False,0.84,M3_QUAD_PT016::M3_QUAD_CROSS_SET
