item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence
M3_REAL_150_S07_Q001,001,1,42,제곱근의 이해,M3_REAL_PT006,n의 제곱근의 이해,"choice:3,4",67,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q002,002,1,42,제곱근의 이해,M3_REAL_PT007,미지수의 제곱근의 이해,"choice:3,4",73,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q003,003,1,42,제곱근의 이해,M3_REAL_PT007,미지수의 제곱근의 이해,choice:1,59,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q004,004,1,42,제곱근의 이해,M3_REAL_PT007,미지수의 제곱근의 이해,choice:3,69,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q005,005,2,42,제곱근의 이해,M3_REAL_PT007,미지수의 제곱근의 이해,choice:4,85,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q006,006,2,42,제곱근 구하기,M3_REAL_PT008,n>0일 때 n² 또는 (-n)²의 제곱근,17,62,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q007,007,2,42,제곱근 구하기,M3_REAL_PT009,n<0일 때 n²의 제곱근,30,87,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q008,008,2,42,제곱근 구하기,M3_REAL_PT009,n<0일 때 n²의 제곱근,choice:2,89,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q009,009,3,42,제곱근 구하기,M3_REAL_PT009,n<0일 때 n²의 제곱근,-60,78,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q010,010,3,43,제곱근의 성질을 이용하여 제곱근 구하기,M3_REAL_PT029,제곱근의 성질을 이용하여 제곱근 구하기,"choice:1,4",79,core,symbolic_expression,False,1.0
M3_REAL_150_S07_Q011,011,3,43,제곱근의 성질을 이용하여 제곱근 구하기,M3_REAL_PT030,제곱근의 성질을 이용하여 제곱근에 대한 이해,1.6,62,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q012,012,3,43,제곱근의 성질을 이용하여 제곱근 구하기,M3_REAL_PT031,제곱근이 중첩된 식의 계산,"choice:3,5",60,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q013,013,4,43,제곱근의 성질을 이용하여 제곱근 구하기,M3_REAL_PT031,제곱근이 중첩된 식의 계산,36,75,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q014,014,4,43,제곱근의 성질을 이용하여 제곱근 구하기,M3_REAL_PT031,제곱근이 중첩된 식의 계산,16,70,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q015,015,4,43,제곱근의 성질을 이용한 계산,M3_REAL_PT034,제곱근의 성질을 이용한 혼합 계산,choice:4,85,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q016,016,4,43,제곱근의 성질을 이용한 계산,M3_REAL_PT035,제곱근의 성질을 이용한 계산 종합,12,84,core,symbolic_expression,False,0.86
M3_REAL_150_S07_Q017,017,5,43,제곱근의 성질을 이용한 계산,M3_REAL_PT035,제곱근의 성질을 이용한 계산 종합,choice:3,87,core,symbolic_expression,False,0.86
M3_REAL_150_S07_Q018,018,5,43,제곱근의 성질을 이용한 계산,M3_REAL_PT035,제곱근의 성질을 이용한 계산 종합,-4,74,standard,symbolic_expression,False,0.86
M3_REAL_150_S07_Q019,019,5,43,√a²의 성질,M3_REAL_PT037,±√(양수)²을 근호를 사용하지 않고 나타내기,choice:2,81,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q020,020,5,43,√a²의 성질,M3_REAL_PT038,±√(음수)²을 근호를 사용하지 않고 나타내기,choice:2,83,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q021,021,6,43,√a²의 성질,M3_REAL_PT038,±√(음수)²을 근호를 사용하지 않고 나타내기,choice:2,72,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q022,022,6,44,√a²의 성질,M3_REAL_PT038,±√(음수)²을 근호를 사용하지 않고 나타내기,choice:5,68,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q023,023,6,44,√a²꼴을 포함한 식 간단히 하기,M3_REAL_PT041,√a²꼴을 포함한 식을 간단히 하기,choice:1,60,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q024,024,6,44,√(a-b)²꼴을 포함한 식 간단히 하기,M3_REAL_PT044,미지수가 한 개인 경우 식을 간단히 하기: 항 2개 이하,0,81,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q025,025,7,44,√(a-b)²꼴을 포함한 식 간단히 하기,M3_REAL_PT045,미지수가 한 개인 경우 식을 간단히 하기: 항 3개 이상,choice:3,83,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q026,026,7,44,√(a-b)²꼴을 포함한 식 간단히 하기,M3_REAL_PT046,미지수가 두 개인 경우 식을 간단히 하기,choice:1,62,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q027,027,7,44,√(a-b)²꼴을 포함한 식 간단히 하기,M3_REAL_PT046,미지수가 두 개인 경우 식을 간단히 하기,choice:1,73,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q028,028,7,44,√Ax가 자연수가 되도록 하는 자연수 x의 값 구하기,M3_REAL_PT050,√Ax가 자연수가 되도록 하는 가장 작은 자연수 x,50,68,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q029,029,8,44,√Ax가 자연수가 되도록 하는 자연수 x의 값 구하기,M3_REAL_PT051,√Ax가 자연수가 되도록 하는 자연수 x의 범위가 주어진 경우,choice:2,85,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q030,030,8,44,√Ax가 자연수가 되도록 하는 자연수 x의 값 구하기,M3_REAL_PT054,√Ax가 자연수가 되도록 하는 자연수 x의 값의 활용,2,71,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q031,031,8,45,√A/x가 자연수가 되도록 하는 자연수 x의 값 구하기,M3_REAL_PT056,√A/x가 자연수가 되도록 하는 가장 작은 자연수 x,choice:1,89,core,symbolic_expression,False,0.82
M3_REAL_150_S07_Q032,032,8,45,√A/x가 자연수가 되도록 하는 자연수 x의 값 구하기,M3_REAL_PT057,√A/x가 자연수가 되도록 하는 자연수 x,175,64,standard,symbolic_expression,False,0.82
M3_REAL_150_S07_Q033,033,9,45,√A/x가 자연수가 되도록 하는 자연수 x의 값 구하기,M3_REAL_PT060,√A/x가 자연수가 되도록 하는 자연수 x의 값의 활용,choice:4,52,advanced,symbolic_expression,False,0.82
