item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,new_trend,mapping_confidence,cross_set_group
M3_TRIG_150_S01_Q001,001,1,41,삼각비의 값,M3_TRIG_PT001,삼각비의 값 - 기본 판별,choice:4,87,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT001::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q002,002,1,41,삼각비의 값,M3_TRIG_PT001,삼각비의 값 - 기본 판별,choice:3,90,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT001::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q003,003,1,41,삼각비의 값,M3_TRIG_PT001,삼각비의 값 - 기본 판별,choice:4,94,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT001::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q004,004,1,41,삼각비의 값,M3_TRIG_PT002,삼각비의 값 - 계산·해석,choice:4,75,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT002::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q005,005,2,41,삼각비가 주어진 경우의 삼각형의 변의 길이,M3_TRIG_PT004,삼각비가 주어진 경우의 삼각형의 변의 길이 - 기본 판별,value:32,88,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT004::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q006,006,2,42,삼각비가 주어진 경우의 삼각형의 변의 길이,M3_TRIG_PT004,삼각비가 주어진 경우의 삼각형의 변의 길이 - 기본 판별,value:54,89,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT004::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q007,007,2,42,삼각비가 주어진 경우의 삼각형의 변의 길이,M3_TRIG_PT005,삼각비가 주어진 경우의 삼각형의 변의 길이 - 계산·해석,value:9/4,67,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT005::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q008,008,2,42,삼각비가 주어진 경우의 삼각형의 변의 길이,M3_TRIG_PT004,삼각비가 주어진 경우의 삼각형의 변의 길이 - 기본 판별,value:96,87,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT004::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q009,009,3,42,한 삼각비가 주어진 경우의 다른 삼각비의 값,M3_TRIG_PT008,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 계산·해석,choice:3,84,concept,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT008::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q010,010,3,42,한 삼각비가 주어진 경우의 다른 삼각비의 값,M3_TRIG_PT008,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 계산·해석,value:3/4,84,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT008::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q011,011,3,42,한 삼각비가 주어진 경우의 다른 삼각비의 값,M3_TRIG_PT007,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 기본 판별,value:1/2,85,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT007::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q012,012,3,43,한 삼각비가 주어진 경우의 다른 삼각비의 값,M3_TRIG_PT008,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 계산·해석,value:15/8,68,concept,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT008::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q013,013,4,43,직각삼각형의 닮음과 삼각비(1),M3_TRIG_PT011,직각삼각형의 닮음과 삼각비 - 계산·해석,choice:3,81,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT011::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q014,014,4,43,직각삼각형의 닮음과 삼각비(1),M3_TRIG_PT011,직각삼각형의 닮음과 삼각비 - 계산·해석,value:8/5,77,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT011::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q015,015,4,43,직각삼각형의 닮음과 삼각비(1),M3_TRIG_PT010,직각삼각형의 닮음과 삼각비 - 기본 판별,choice:3,90,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT010::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q016,016,4,43,직각삼각형의 닮음과 삼각비(1),M3_TRIG_PT011,직각삼각형의 닮음과 삼각비 - 계산·해석,value:7/5,81,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT011::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q017,017,5,43,직각삼각형의 닮음과 삼각비(1),M3_TRIG_PT011,직각삼각형의 닮음과 삼각비 - 계산·해석,value:10/13,76,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT011::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q018,018,5,44,직각삼각형의 닮음과 삼각비(2),M3_TRIG_PT011,직각삼각형의 닮음과 삼각비 - 계산·해석,choice:4,84,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT011::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q019,019,5,44,직각삼각형의 닮음과 삼각비(2),M3_TRIG_PT011,직각삼각형의 닮음과 삼각비 - 계산·해석,value:7/5,81,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT011::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q020,020,5,44,직각삼각형의 닮음과 삼각비(2),M3_TRIG_PT012,직각삼각형의 닮음과 삼각비 - 복합 적용,choice:3,85,advanced,diagram_table_or_context,True,True,0.9,M3_TRIG_PT012::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q021,021,6,44,직각삼각형의 닮음과 삼각비(2),M3_TRIG_PT012,직각삼각형의 닮음과 삼각비 - 복합 적용,value:4/5,31,advanced,diagram_table_or_context,True,False,0.94,M3_TRIG_PT012::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q022,022,6,44,직선의 방정식과 삼각비의 값,M3_TRIG_PT014,직선의 방정식과 삼각비의 값 - 계산·해석,value:1/5,83,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT014::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q023,023,6,45,직선의 방정식과 삼각비의 값,M3_TRIG_PT014,직선의 방정식과 삼각비의 값 - 계산·해석,choice:1,80,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT014::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q024,024,6,45,직선의 방정식과 삼각비의 값,M3_TRIG_PT014,직선의 방정식과 삼각비의 값 - 계산·해석,choice:2,67,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT014::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q025,025,7,45,직선의 방정식과 삼각비의 값,M3_TRIG_PT015,직선의 방정식과 삼각비의 값 - 복합 적용,value:175/48,50,advanced,diagram_table_or_context,True,False,0.94,M3_TRIG_PT015::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q026,026,7,45,평면도형에서의 삼각비의 값,M3_TRIG_PT016,평면도형에서의 삼각비의 값 - 기본 판별,choice:3,87,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT016::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q027,027,7,46,평면도형에서의 삼각비의 값,M3_TRIG_PT017,평면도형에서의 삼각비의 값 - 계산·해석,choice:5,78,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT017::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q028,028,7,46,평면도형에서의 삼각비의 값,M3_TRIG_PT017,평면도형에서의 삼각비의 값 - 계산·해석,value:3/5,81,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT017::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q029,029,8,46,평면도형에서의 삼각비의 값,M3_TRIG_PT017,평면도형에서의 삼각비의 값 - 계산·해석,choice:1,81,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT017::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q030,030,8,46,평면도형에서의 삼각비의 값,M3_TRIG_PT017,평면도형에서의 삼각비의 값 - 계산·해석,choice:5,83,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT017::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q031,031,8,47,입체도형에서의 삼각비의 값,M3_TRIG_PT020,입체도형에서의 삼각비의 값 - 계산·해석,choice:3,76,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT020::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q032,032,8,47,입체도형에서의 삼각비의 값,M3_TRIG_PT020,입체도형에서의 삼각비의 값 - 계산·해석,choice:4,84,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT020::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q033,033,9,47,입체도형에서의 삼각비의 값,M3_TRIG_PT020,입체도형에서의 삼각비의 값 - 계산·해석,choice:2,67,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT020::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q034,034,9,47,입체도형에서의 삼각비의 값,M3_TRIG_PT020,입체도형에서의 삼각비의 값 - 계산·해석,value:3/2,65,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT020::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q035,035,9,47,입체도형에서의 삼각비의 값,M3_TRIG_PT021,입체도형에서의 삼각비의 값 - 복합 적용,choice:2,76,advanced,diagram_table_or_context,True,True,0.9,M3_TRIG_PT021::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q036,036,9,48,원에서의 삼각비의 값,M3_TRIG_PT024,원에서의 삼각비의 값 - 복합 적용,value:3/4,58,advanced,diagram_table_or_context,True,False,0.94,M3_TRIG_PT024::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q037,037,10,48,원에서의 삼각비의 값,M3_TRIG_PT024,원에서의 삼각비의 값 - 복합 적용,value:4/5,54,advanced,diagram_table_or_context,True,False,0.94,M3_TRIG_PT024::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q038,038,10,48,원에서의 삼각비의 값,M3_TRIG_PT024,원에서의 삼각비의 값 - 복합 적용,value:5/8,52,advanced,diagram_table_or_context,True,False,0.94,M3_TRIG_PT024::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q039,039,10,48,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값",M3_TRIG_PT026,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값 - 계산·해석",value:1,80,concept,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT026::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q040,040,10,48,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값",M3_TRIG_PT026,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값 - 계산·해석",choice:2,84,concept,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT026::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q041,041,11,49,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값",M3_TRIG_PT025,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값 - 기본 판별",choice:4,86,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT025::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q042,042,11,49,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값",M3_TRIG_PT025,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값 - 기본 판별",choice:1,85,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT025::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q043,043,11,49,특수한 각의 삼각비를 이용하여 각의 크기 구하기,M3_TRIG_PT028,특수한 각의 삼각비를 이용하여 각의 크기 구하기 - 기본 판별,choice:5,91,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT028::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q044,044,11,49,특수한 각의 삼각비를 이용하여 각의 크기 구하기,M3_TRIG_PT028,특수한 각의 삼각비를 이용하여 각의 크기 구하기 - 기본 판별,value:25deg,85,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT028::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q045,045,12,49,특수한 각의 삼각비를 이용하여 각의 크기 구하기,M3_TRIG_PT028,특수한 각의 삼각비를 이용하여 각의 크기 구하기 - 기본 판별,value:10deg,90,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT028::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q046,046,12,49,특수한 각의 삼각비를 이용하여 각의 크기 구하기,M3_TRIG_PT028,특수한 각의 삼각비를 이용하여 각의 크기 구하기 - 기본 판별,value:20deg,90,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT028::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q047,047,12,49,특수한 각의 삼각비를 이용하여 변의 길이 구하기,M3_TRIG_PT032,특수한 각의 삼각비를 이용하여 변의 길이 구하기 - 계산·해석,value:6,78,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT032::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q048,048,12,49,특수한 각의 삼각비를 이용하여 변의 길이 구하기,M3_TRIG_PT032,특수한 각의 삼각비를 이용하여 변의 길이 구하기 - 계산·해석,value:9,79,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT032::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q049,049,13,50,특수한 각의 삼각비를 이용하여 변의 길이 구하기,M3_TRIG_PT031,특수한 각의 삼각비를 이용하여 변의 길이 구하기 - 기본 판별,choice:2,87,basic,diagram_table_or_context,True,False,0.94,M3_TRIG_PT031::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q050,050,13,50,특수한 각의 삼각비를 이용하여 변의 길이 구하기,M3_TRIG_PT032,특수한 각의 삼각비를 이용하여 변의 길이 구하기 - 계산·해석,value:3,78,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT032::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q051,051,13,50,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기,M3_TRIG_PT035,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기 - 계산·해석,choice:1,60,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT035::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q052,052,13,50,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기,M3_TRIG_PT035,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기 - 계산·해석,choice:2,65,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT035::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q053,053,14,51,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기,M3_TRIG_PT036,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기 - 복합 적용,choice:1,54,advanced,diagram_table_or_context,True,False,0.94,M3_TRIG_PT036::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q054,054,14,51,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기,M3_TRIG_PT035,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기 - 계산·해석,choice:2,77,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT035::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q055,055,14,51,특수한 각의 삼각비를 이용하여 다른 삼각비의 값 구하기,M3_TRIG_PT038,특수한 각의 삼각비를 이용하여 다른 삼각비의 값 구하기 - 계산·해석,choice:2,83,concept,diagram_table_or_context,True,False,0.94,M3_TRIG_PT038::M3_TRIG_CROSS_SET
M3_TRIG_150_S01_Q056,056,14,51,특수한 각의 삼각비를 이용하여 다른 삼각비의 값 구하기,M3_TRIG_PT037,특수한 각의 삼각비를 이용하여 다른 삼각비의 값 구하기 - 기본 판별,choice:3,90,basic,symbolic_or_verbal,False,False,0.94,M3_TRIG_PT037::M3_TRIG_CROSS_SET
