source_title,source_file,source_unit,source_question_no,source_page,source_solution_page,engine_unit_name,engine_subunit_name,matched_problem_type_id,type_name,variant_id,difficulty,mapping_status,review_note
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,001,2,3,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,002,4,5,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,003,6,7,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,004,8,9,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,005,10,11,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,006,12,13,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,007,14,15,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,008,16,17,지수함수와 로그함수,지수함수·로그함수 조건 해석,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE,지수함수·로그함수 조건식 해석 복합,ALG_EXPLOG_FUNC_PT_CONDITION_COMPOSITE_CONDITION_PARAMETER,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,009,18,19,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,010,20,21,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,011,22,23,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,012,24,25,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,013,26,27,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,014,28,29,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,015,30,31,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,016,32,33,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,017,34,35,지수함수와 로그함수,지수함수·로그함수 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION,지수함수·로그함수 그래프 변환과 교점,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORMATION_GRAPH_TRANSFORMATION_INTERSECTION,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,018,36,37,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,019,38,39,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,020,40,41,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,021,42,43,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,review_required,"DRILL 고난도 문항: 대수 엔진 기준 단원/유형 매핑 완료, 상세 문항별 검수 권장"
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,022,44,45,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,review_required,"DRILL 고난도 문항: 대수 엔진 기준 단원/유형 매핑 완료, 상세 문항별 검수 권장"
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,023,46,47,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,review_required,"DRILL 고난도 문항: 대수 엔진 기준 단원/유형 매핑 완료, 상세 문항별 검수 권장"
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,024,48,49,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,review_required,"DRILL 고난도 문항: 대수 엔진 기준 단원/유형 매핑 완료, 상세 문항별 검수 권장"
DRILL 수학Ⅰ,드릴 수학1 지수함수와 로그함수.pdf,지수함수와 로그함수,025,50,51,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV,지수·로그방정식과 부등식 고난도 복합,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_ADV_EQUATION_INEQUALITY_APPLICATION,very_high,review_required,"DRILL 고난도 문항: 대수 엔진 기준 단원/유형 매핑 완료, 상세 문항별 검수 권장"
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,001,2,3,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,002,4,5,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,003,6,7,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,004,8,9,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,005,10,11,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,006,12,13,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,007,14,15,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,008,16,17,삼각함수,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,009,18,19,삼각함수,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_EQUATION_ADV,삼각함수 그래프·방정식·부등식 복합,ALG_TRIG_PT_GRAPH_EQUATION_ADV_GRAPH_EQUATION_INEQUALITY,high,matched,
DRILL 수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,삼각함수,010,20,21,삼각함수,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_EQUATION_ADV,삼각함수 그래프·방정식·부등식 복합,ALG_TRIG_PT_GRAPH_EQUATION_ADV_GRAPH_EQUATION_INEQUALITY,high,matched,
